UID,Point_ID,Easting,Northing,Elevation,Timestamp,STN_Easting,STN_Northing,STN_Height,STN_Elevation,Target_Height,Horizontal_Angle,Vertical_Angle,Slope_Distance,Horizontal_Dist,Prism_Constant,Height_Diff
,STN742,,,,,287572.663,6215365.534,0.000,125.579,,,,,,,
STN742_STN741_1,STN741,287406.713,6215388.525,125.835,09:56,,,,,0.000,"277° 53' 15""","089° 54' 48""",167.534,167.535,23,0.256
STN742_STN741_2,STN741,287406.714,6215388.524,125.828,10:03,,,,,0.000,"097° 53' 14""","270° 05' 05""",167.533,167.534,23,0.249
STN742_STN743_1,STN743,287702.141,6215322.833,131.987,09:55,,,,,0.000,"108° 15' 07""","087° 18' 31""",136.488,136.338,23,6.408
STN742_STN743_2,STN743,287702.142,6215322.832,131.990,09:59,,,,,0.000,"108° 15' 08""","087° 18' 31""",136.490,136.339,23,6.411
STN742_STN743_3,STN743,287702.142,6215322.833,131.985,10:00,,,,,0.000,"288° 15' 07""","272° 41' 21""",136.489,136.339,23,6.406
STN742_UB74670_1,UB74670,287623.209,6215351.137,125.826,09:59,,,,,0.000,"105° 53' 54""","089° 43' 49""",52.557,52.556,34,0.247
STN742_UB74670_2,UB74670,287623.209,6215351.137,125.824,10:00,,,,,0.000,"285° 53' 54""","270° 15' 60""",52.557,52.556,34,0.245
STN742_UB74680_1,UB74680,287612.601,6215353.373,125.654,09:59,,,,,0.000,"106° 56' 05""","089° 53' 48""",41.749,41.749,8,0.075
STN742_UB74680_2,UB74680,287612.602,6215353.373,125.652,10:00,,,,,0.000,"286° 56' 05""","270° 06' 02""",41.749,41.749,8,0.073
STN742_UB74690_1,UB74690,287602.204,6215355.375,125.368,09:59,,,,,0.000,"108° 58' 44""","090° 23' 15""",31.240,31.239,8,0.211
STN742_UB74690_2,UB74690,287602.204,6215355.375,125.366,10:00,,,,,0.000,"288° 58' 42""","269° 36' 36""",31.240,31.239,8,0.213
STN742_UB74700_1,UB74700,287593.189,6215356.489,125.383,09:59,,,,,0.000,"113° 46' 50""","090° 30' 04""",22.432,22.431,8,0.196
STN742_UB74700_2,UB74700,287593.189,6215356.489,125.382,10:01,,,,,0.000,"293° 46' 48""","269° 29' 44""",22.432,22.431,8,0.197
STN742_UB74710_1,UB74710,287581.028,6215358.579,125.660,09:58,,,,,0.000,"129° 44' 22""","089° 34' 24""",10.879,10.879,8,0.081
STN742_UB74710_2,UB74710,287581.028,6215358.580,125.659,10:01,,,,,0.000,"309° 44' 17""","270° 25' 24""",10.879,10.879,8,0.080
STN742_UB74720_1,UB74720,287572.580,6215360.744,125.284,09:58,,,,,0.000,"180° 59' 02""","093° 31' 21""",4.800,4.791,8,0.295
STN742_UB74720_2,UB74720,287572.581,6215360.744,125.283,10:01,,,,,0.000,"000° 58' 56""","266° 28' 13""",4.800,4.791,8,0.296
STN742_UB74730_1,UB74730,287562.112,6215362.424,124.898,09:58,,,,,0.000,"253° 34' 27""","093° 32' 43""",11.021,10.999,8,0.681
STN742_UB74730_2,UB74730,287562.112,6215362.423,124.897,10:01,,,,,0.000,"073° 34' 21""","266° 27' 03""",11.021,11.000,8,0.682
STN742_UB74740_1,UB74740,287551.669,6215363.717,124.633,09:58,,,,,0.000,"265° 03' 09""","092° 34' 13""",21.093,21.072,8,0.946
