UID,Point_ID,Easting,Northing,Elevation,Timestamp,STN_Easting,STN_Northing,STN_Height,STN_Elevation,Target_Height,Horizontal_Angle,Vertical_Angle,Slope_Distance,Horizontal_Dist,Prism_Constant,Height_Diff
,FOCSTN01,,,,,10000.000,5000.000,0.000,200.000,,,,,,,
FOCSTN01_FOC01_1,FOC01,9963.269,5086.732,200.883,10:16,,,,,1.543,"337° 02' 51""","088° 31' 29""",94.221,94.189,0,0.883
FOCSTN01_FOC01_2,FOC01,9963.266,5086.731,200.881,10:17,,,,,1.543,"157° 02' 43""","271° 28' 25""",94.221,94.190,0,0.881
FOCSTN01_FOC01_3,FOC01,9963.266,5086.731,200.881,10:17,,,,,1.543,"157° 02' 45""","271° 28' 26""",94.221,94.190,0,0.881
FOCSTN01_FOC01_4,FOC01,9963.269,5086.732,200.884,10:17,,,,,1.543,"337° 02' 50""","088° 31' 27""",94.221,94.189,0,0.884
FOCSTN01_FOC09_1,FOC09,10040.055,4949.390,195.306,10:20,,,,,1.543,"141° 38' 25""","092° 47' 42""",64.620,64.543,0,4.694
FOCSTN01_FOC09_2,FOC09,10040.054,4949.388,195.306,10:20,,,,,1.543,"321° 38' 32""","267° 12' 18""",64.620,64.543,0,4.694
FOCSTN01_FOC09_3,FOC09,10040.054,4949.389,195.306,10:20,,,,,1.543,"321° 38' 31""","267° 12' 16""",64.620,64.543,0,4.694
FOCSTN01_FOC09_4,FOC09,10040.056,4949.390,195.307,10:20,,,,,1.543,"141° 38' 23""","092° 47' 41""",64.620,64.543,0,4.693
FOCSTN01_UT75600_1,UT75600,10012.072,5070.972,202.210,10:15,,,,,0.000,"009° 39' 13""","088° 14' 32""",72.026,71.992,34,2.210
FOCSTN01_UT75600_2,UT75600,10012.071,5070.973,202.207,10:15,,,,,0.000,"189° 39' 08""","271° 45' 21""",72.026,71.992,34,2.207
FOCSTN01_UT75600_3,UT75600,10012.071,5070.973,202.207,10:15,,,,,0.000,"189° 39' 08""","271° 45' 22""",72.026,71.992,34,2.207
FOCSTN01_UT75600_4,UT75600,10012.072,5070.972,202.209,10:16,,,,,0.000,"009° 39' 13""","088° 14' 33""",72.025,71.992,34,2.209
