UID,Point ID,X,Y,Z,Time,Stn E,Stn N,Stn H,Stn Z,Targ Z,Hz Angle,Vert Angle,Slope Dist.,Hz Dist.,Prism Const.,Height Diff.
,FOCSTN01,,,,,10000.000,5000.000,200.000,,,,,,,,
FOCSTN01_FOC01_1,FOC01,9963.269,5086.732,200.883,10:16,,,,,1.543,"337'2'51""","88'31'29""",94.221,94.189,000,0.883
FOCSTN01_FOC01_2,FOC01,9963.266,5086.731,200.881,10:17,,,,,1.543,"157'2'43""","271'28'25""",94.221,94.190,000,0.881
FOCSTN01_FOC01_3,FOC01,9963.266,5086.731,200.881,10:17,,,,,1.543,"157'2'45""","271'28'25""",94.221,94.190,000,0.881
FOCSTN01_FOC01_4,FOC01,9963.269,5086.732,200.884,10:17,,,,,1.543,"337'2'50""","88'31'27""",94.221,94.189,000,0.884
FOCSTN01_FOC09_1,FOC09,10040.055,4949.390,195.306,10:20,,,,,1.543,"141'38'25""","92'47'42""",64.620,64.543,000,4.694
FOCSTN01_FOC09_2,FOC09,10040.054,4949.388,195.306,10:20,,,,,1.543,"321'38'31""","267'12'18""",64.620,64.543,000,4.694
FOCSTN01_FOC09_3,FOC09,10040.054,4949.389,195.306,10:20,,,,,1.543,"321'38'31""","267'12'15""",64.620,64.543,000,4.694
FOCSTN01_FOC09_4,FOC09,10040.056,4949.390,195.307,10:20,,,,,1.543,"141'38'22""","92'47'40""",64.620,64.543,000,4.693
FOCSTN01_UT75600_1,UT75600,10012.072,5070.972,202.210,10:15,,,,,,"9'39'12""","88'14'31""",72.026,71.992,034,2.210
FOCSTN01_UT75600_2,UT75600,10012.071,5070.973,202.207,10:15,,,,,,"189'39'8""","271'45'20""",72.026,71.992,034,2.207
FOCSTN01_UT75600_3,UT75600,10012.071,5070.973,202.207,10:15,,,,,,"189'39'8""","271'45'22""",72.026,71.992,034,2.207
FOCSTN01_UT75600_4,UT75600,10012.072,5070.972,202.209,10:16,,,,,,"9'39'12""","88'14'32""",72.025,71.992,034,2.209
,FOCSTN02,,,,,10000.000,5000.000,200.000,,,,,,,,
FOCSTN02_FOC09_1,FOC09,10027.074,5053.107,200.863,10:25,,,,,1.543,"27'0'44""","87'41'20""",59.658,59.610,000,0.863
FOCSTN02_FOC09_2,FOC09,10027.074,5053.107,200.862,10:25,,,,,1.543,"207'0'45""","272'18'36""",59.658,59.610,000,0.862
FOCSTN02_FOC09_3,FOC09,10027.074,5053.107,200.862,10:25,,,,,1.543,"207'0'43""","272'18'36""",59.658,59.610,000,0.862
FOCSTN02_FOC09_4,FOC09,10027.075,5053.106,200.863,10:25,,,,,1.543,"27'0'48""","87'41'20""",59.658,59.610,000,0.863
FOCSTN02_FOC16_1,FOC16,9946.931,4967.419,201.039,10:25,,,,,1.543,"238'27'9""","87'37'32""",62.326,62.273,000,1.039
FOCSTN02_FOC16_2,FOC16,9946.931,4967.418,201.038,10:25,,,,,1.543,"58'27'7""","272'22'24""",62.327,62.273,000,1.038
FOCSTN02_FOC16_3,FOC16,9946.930,4967.419,201.038,10:25,,,,,1.543,"58'27'10""","272'22'22""",62.327,62.273,000,1.038
FOCSTN02_FOC16_4,FOC16,9946.931,4967.419,201.039,10:25,,,,,1.543,"238'27'9""","87'37'35""",62.326,62.273,000,1.039
,FOCSTN03A,,,,,10000.000,5000.000,200.000,,,,,,,,
FOCSTN03A_FOC16_1,FOC16,9956.031,4956.140,196.388,10:30,,,,,1.543,"225'4'15""","91'54'28""",62.138,62.104,000,3.612
FOCSTN03A_FOC16_2,FOC16,9956.031,4956.141,196.387,10:30,,,,,1.543,"45'4'18""","268'5'27""",62.138,62.104,000,3.613
FOCSTN03A_FOC16_3,FOC16,9956.031,4956.140,196.387,10:30,,,,,1.543,"45'4'15""","268'5'27""",62.139,62.104,000,3.613
FOCSTN03A_FOC16_4,FOC16,9956.031,4956.140,196.388,10:30,,,,,1.543,"225'4'15""","91'54'29""",62.138,62.104,000,3.612
FOCSTN03A_FOC22_1,FOC22,10027.143,5058.019,201.099,10:33,,,,,1.543,"25'4'19""","87'38'18""",64.109,64.054,000,1.099
FOCSTN03A_FOC22_2,FOC22,10027.144,5058.019,201.097,10:33,,,,,1.543,"205'4'20""","272'21'36""",64.109,64.054,000,1.097
FOCSTN03A_FOC22_3,FOC22,10027.142,5058.020,201.097,10:33,,,,,1.543,"205'4'13""","272'21'34""",64.109,64.055,000,1.097
FOCSTN03A_FOC22_4,FOC22,10027.143,5058.019,201.098,10:33,,,,,1.543,"25'4'15""","87'38'21""",64.109,64.054,000,1.098
FOCSTN03A_FOCSTN03_1,FOCSTN03,9995.387,5002.557,200.123,10:31,,,,,,"298'59'43""","88'40'4""",5.276,5.275,023,0.123
FOCSTN03A_FOCSTN03_2,FOCSTN03,9995.386,5002.557,200.122,10:31,,,,,,"118'59'54""","271'19'31""",5.277,5.275,023,0.122
FOCSTN03A_FOCSTN03_3,FOCSTN03,9995.386,5002.557,200.122,10:31,,,,,,"118'59'55""","271'19'31""",5.277,5.275,023,0.122
FOCSTN03A_FOCSTN03_4,FOCSTN03,9995.386,5002.557,200.123,10:31,,,,,,"298'59'40""","88'40'1""",5.276,5.275,023,0.123
FOCSTN03A_STN01_1,STN01,9919.297,5122.215,200.013,10:32,,,,,,"326'33'41""","89'59'44""",146.457,146.457,023,0.013
FOCSTN03A_STN01_2,STN01,9919.292,5122.212,200.013,10:32,,,,,,"146'33'34""","270'0'15""",146.457,146.457,023,0.013
FOCSTN03A_STN01_3,STN01,9919.294,5122.214,200.008,10:32,,,,,,"146'33'37""","270'0'9""",146.457,146.457,023,0.008
FOCSTN03A_STN01_4,STN01,9919.298,5122.216,200.015,10:32,,,,,,"326'33'43""","89'59'40""",146.457,146.457,023,0.015
,STN01,,,,,9919.297,5122.215,200.013,,,,,,,,
STN01_FOCSTN03_1,FOCSTN03,9995.387,5002.557,200.109,10:41,,,,,,"147'32'52""","89'57'42""",141.802,141.802,023,0.097
STN01_FOCSTN03_2,FOCSTN03,9995.390,5002.558,200.103,10:41,,,,,,"327'32'47""","270'2'9""",141.803,141.803,023,0.090
STN01_MR9001_1,MR9001,9820.950,5174.308,193.249,10:42,,,,,1.543,"117'54'34""","267'18'50""",111.413,111.291,000,6.763
STN01_MR9001_2,MR9001,9820.951,5174.309,193.250,10:42,,,,,1.543,"297'54'38""","92'41'7""",111.413,111.291,000,6.762
STN01_MR9001_3,MR9001,9820.951,5174.310,193.248,10:42,,,,,1.543,"297'54'38""","92'41'12""",111.413,111.291,000,6.765
STN01_MR9001_4,MR9001,9820.950,5174.307,193.250,10:43,,,,,1.543,"117'54'34""","267'18'50""",111.413,111.291,000,6.763
STN01_MR9002_1,MR9002,9839.091,5169.797,192.948,10:43,,,,,1.543,"120'40'42""","266'36'40""",93.421,93.257,000,7.065
STN01_MR9002_2,MR9002,9839.092,5169.797,192.948,10:43,,,,,1.543,"300'40'43""","93'23'20""",93.421,93.257,000,7.065
STN01_MR9003_1,MR9003,9858.232,5162.577,193.593,10:44,,,,,1.543,"303'27'47""","93'48'44""",73.360,73.198,000,6.420
STN01_MR9003_2,MR9003,9858.231,5162.577,193.593,10:44,,,,,1.543,"123'27'46""","266'11'18""",73.361,73.198,000,6.419
STN01_MR9004_1,MR9004,9876.595,5154.850,195.284,10:44,,,,,1.543,"127'23'19""","266'36'27""",53.839,53.744,000,4.729
STN01_MR9004_2,MR9004,9876.595,5154.850,195.284,10:44,,,,,1.543,"307'23'20""","93'23'31""",53.839,53.744,000,4.728
STN01_MR9005_1,MR9005,9892.624,5146.296,196.382,10:45,,,,,1.543,"312'4'38""","93'19'32""",35.996,35.935,000,3.631
STN01_MR9005_2,MR9005,9892.624,5146.296,196.380,10:45,,,,,1.543,"132'4'37""","266'40'20""",35.996,35.935,000,3.632
STN01_MR9006_1,MR9006,9909.999,5136.280,197.470,10:45,,,,,1.543,"146'31'52""","266'36'25""",16.890,16.860,000,2.543
STN01_MR9006_2,MR9006,9909.999,5136.280,197.471,10:46,,,,,1.543,"326'31'54""","93'23'26""",16.890,16.860,000,2.542
STN01_MR9007_1,MR9007,9927.686,5126.307,198.922,10:46,,,,,1.543,"63'59'52""","87'13'31""",9.345,9.334,000,1.091
STN01_MR9007_2,MR9007,9927.687,5126.308,198.922,10:47,,,,,1.543,"243'59'52""","272'46'18""",9.346,9.335,000,1.091
STN01_MR9008_1,MR9008,9945.740,5115.301,200.004,10:47,,,,,1.543,"284'39'13""","273'12'49""",27.376,27.333,000,0.008
STN01_MR9008_2,MR9008,9945.740,5115.301,200.005,10:47,,,,,1.543,"104'39'12""","86'47'6""",27.376,27.333,000,0.008
STN01_MR9009_1,MR9009,9961.979,5103.763,200.183,10:48,,,,,1.543,"113'22'45""","87'53'22""",46.532,46.500,000,0.171
STN01_MR9009_2,MR9009,9961.979,5103.763,200.183,10:48,,,,,1.543,"293'22'45""","272'6'34""",46.532,46.500,000,0.170
STN01_MR9010_1,MR9010,9977.923,5092.300,200.443,10:48,,,,,1.543,"297'2'0""","271'43'2""",65.847,65.818,000,0.431
STN01_MR9010_2,MR9010,9977.923,5092.299,200.442,10:48,,,,,1.543,"117'2'3""","88'17'3""",65.847,65.818,000,0.429
STN01_MR9011_1,MR9011,9994.520,5080.258,200.574,10:49,,,,,1.543,"119'9'5""","88'36'3""",86.159,86.133,000,0.561
STN01_MR9011_2,MR9011,9994.520,5080.259,200.576,10:49,,,,,1.543,"299'9'2""","271'24'2""",86.159,86.133,000,0.563
STN01_MR9012_1,MR9012,10011.450,5068.369,200.705,10:49,,,,,1.543,"300'17'54""","271'11'58""",106.755,106.732,000,0.692
STN01_MR9012_2,MR9012,10011.449,5068.368,200.703,10:49,,,,,1.543,"120'17'56""","88'48'6""",106.755,106.731,000,0.690
STN01_MR9012_3,MR9012,10011.449,5068.368,200.702,10:50,,,,,1.543,"120'17'55""","88'48'9""",106.755,106.732,000,0.689
STN01_MR9012_4,MR9012,10011.450,5068.370,200.709,10:50,,,,,1.543,"300'17'52""","271'12'4""",106.755,106.731,000,0.696
,FOCSTN03,,,,,9995.387,5002.556,200.106,,,,,,,,
FOCSTN03_STN01_1,STN01,9919.297,5122.215,199.994,10:56,,,,,,"327'32'52""","90'2'45""",141.802,141.802,023,0.113
