UID,Point_ID,Easting,Northing,Elevation,Timestamp,STN_Easting,STN_Northing,STN_Height,STN_Elevation,Target_Height,Horizontal_Angle,Vertical_Angle,Slope_Distance,Horizontal_Dist,Prism_Constant,Height_Diff
,TOF1,,,,,1000.000,5000.000,0.000,200.000,,,,,,,
TOF1_1_1,1,,,,11:00,,,,,0.000,"360° 00' 00""","113° 47' 00""",,,0,
TOF1_TOF01_1,TOF01,1001.448,5094.171,200.903,11:03,,,,,1.543,"000° 52' 51""","088° 30' 45""",94.214,94.182,0,0.903
TOF1_TOF01_2,TOF01,1001.451,5094.170,200.910,11:03,,,,,1.543,"180° 52' 57""","271° 29' 30""",94.213,94.182,0,0.910
TOF1_TOF01_3,TOF01,1001.450,5094.171,200.911,11:04,,,,,1.543,"180° 52' 55""","271° 29' 32""",94.214,94.182,0,0.911
TOF1_TOF01_4,TOF01,1001.448,5094.170,200.905,11:04,,,,,1.543,"000° 52' 52""","088° 30' 41""",94.213,94.181,0,0.905
TOF1_TOF09_1,TOF09,1016.273,4937.528,195.336,11:04,,,,,1.543,"165° 23' 59""","092° 46' 04""",64.632,64.557,0,4.664
TOF1_TOF09_2,TOF09,1016.274,4937.528,195.341,11:04,,,,,1.543,"345° 23' 57""","267° 14' 10""",64.632,64.557,0,4.659
TOF1_TOF09_3,TOF09,1016.273,4937.527,195.341,11:04,,,,,1.543,"345° 23' 60""","267° 14' 11""",64.633,64.557,0,4.659
TOF1_TOF09_4,TOF09,1016.273,4937.527,195.338,11:04,,,,,1.543,"165° 23' 59""","092° 45' 60""",64.633,64.557,0,4.662
TOF1_UT75600_1,UT75600,1039.742,5060.060,202.235,11:02,,,,,0.000,"033° 29' 36""","088° 13' 21""",72.053,72.018,34,2.235
TOF1_UT75600_2,UT75600,1039.742,5060.059,202.240,11:02,,,,,0.000,"213° 29' 35""","271° 46' 53""",72.053,72.018,34,2.240
TOF1_UT75600_3,UT75600,1039.743,5060.059,202.241,11:02,,,,,0.000,"213° 29' 39""","271° 46' 54""",72.053,72.018,34,2.241
TOF1_UT75600_4,UT75600,1039.743,5060.059,202.236,11:02,,,,,0.000,"033° 29' 38""","088° 13' 18""",72.052,72.018,34,2.236
,TOF2,,,,,1000.000,5000.000,0.000,200.000,,,,,,,
TOF2_2_1,2,,,,11:11,,,,,0.000,"000° 00' 00""","092° 35' 58""",,,0,
TOF2_TOF09_1,TOF09,1020.505,5056.009,200.929,11:11,,,,,1.543,"020° 06' 29""","087° 37' 38""",59.696,59.645,0,0.929
TOF2_TOF09_2,TOF09,1020.506,5056.009,200.934,11:11,,,,,1.543,"200° 06' 31""","272° 22' 39""",59.696,59.645,0,0.934
TOF2_TOF09_3,TOF09,1020.505,5056.009,200.933,11:12,,,,,1.543,"200° 06' 29""","272° 22' 37""",59.696,59.645,0,0.933
TOF2_TOF09_4,TOF09,1020.506,5056.009,200.929,11:12,,,,,1.543,"020° 06' 30""","087° 37' 38""",59.696,59.645,0,0.929
TOF2_TOF16_1,TOF16,951.253,4961.293,201.095,11:13,,,,,1.543,"231° 32' 57""","087° 34' 25""",62.302,62.246,0,1.095
TOF2_TOF16_2,TOF16,951.253,4961.293,201.102,11:13,,,,,1.543,"051° 32' 55""","272° 25' 58""",62.302,62.245,0,1.102
TOF2_TOF16_3,TOF16,951.254,4961.292,201.101,11:13,,,,,1.543,"051° 32' 53""","272° 25' 55""",62.301,62.245,0,1.101
TOF2_TOF16_4,TOF16,951.253,4961.293,201.094,11:13,,,,,1.543,"231° 32' 58""","087° 34' 26""",62.302,62.246,0,1.094
,TOF3,,,,,1000.000,5000.000,0.000,200.000,,,,,,,
TOF3_3_1,3,,,,11:17,,,,,0.000,"360° 00' 00""","087° 31' 16""",,,0,
TOF3_TOF16_1,TOF16,1024.506,5055.673,196.415,11:18,,,,,1.543,"023° 45' 28""","091° 55' 24""",60.862,60.827,0,3.585
TOF3_TOF16_2,TOF16,1024.505,5055.673,196.418,11:18,,,,,1.543,"203° 45' 25""","268° 04' 47""",60.862,60.828,0,3.582
TOF3_TOF16_3,TOF16,1024.505,5055.673,196.419,11:18,,,,,1.543,"203° 45' 26""","268° 04' 50""",60.862,60.828,0,3.581
TOF3_TOF16_4,TOF16,1024.506,5055.673,196.414,11:18,,,,,1.543,"023° 45' 31""","091° 55' 25""",60.862,60.828,0,3.586
TOF3_TOF22_1,TOF22,985.431,4937.728,201.109,11:19,,,,,1.543,"193° 10' 04""","087° 37' 32""",64.008,63.953,0,1.109
